Pytanie,Pytanie 1,Pytanie 2,Pytanie 3,Pytanie 4,Poprawa odpowiedź
Skąd najlepiej pobierać aplikacje na telefon?,Z dowolnej strony internetowej,Tylko od znajomych,Z Google Play lub Apple App Store,Z pierwszego znalezionego linku w wyszukiwarce,3
Co oznacza 'dobre hasło'?,"Hasło składa się z co najmniej 8 znaków, w tym liter, cyfr i znaków specjalnych",Hasło to '123456',Hasło to twoje imię i rok urodzenia,"Hasło to jedno słowo, np. 'hasło'",1
Dlaczego nie powinno się klikać w podejrzane linki od znajomych?,Bo mogą nie działać,Bo są za długie,Bo zajmują dużo miejsca w telefonie,Bo mogą prowadzić do niebezpiecznych stron i wirusów,4
Co należy zrobić przed zainstalowaniem aplikacji?,Od razu ją pobrać i uruchomić,Zapisać ją na pendrivie,"Nie zwracać uwagi na nic, jeśli wygląda ciekawie","Przeczytać opinie, sprawdzić oceny i uprawnienia aplikacji",4
Dlaczego warto zainstalować program antywirusowy?,Żeby komputer działał szybciej,Bo tak radzą znajomi,Żeby łatwiej było znaleźć pliki na komputerze,Żeby ochronić się przed wirusami i szkodliwym oprogramowaniem,4
Jakie informacje należy zachować dla siebie podczas korzystania z komunikatora?,Swoje imię i nazwisko,Ulubione filmy,"Adres zamieszkania, numer telefonu i inne poufne dane",Plany na wakacje,3
"Co tracisz, wysyłając zdjęcie do internetu?",Kolor zdjęcia,Pamięć o zdjęciu,Kontrolę nad zdjęciem,Kopię zapasową zdjęcia,3
Jak powinniśmy się zachowywać podczas rozmów w komunikatorach?,Obrażać innych,Szanować innych i nie nękać nikogo,Pisać tylko wielkimi literami,Nie odpisywać na wiadomości,2
"Co zrobić, jeśli chcesz grać w gry komputerowe?",Pobierać je z zaufanych źródeł,Pytać znajomych o linki do gier,Ściągać je z przypadkowych stron,Grać bez instalowania czegokolwiek,1
Jak przeciwdziałać uzależnieniu od liczby polubień?,Zawsze klikać 'lubię to' na każdej fotografii,"Świadomie decydować, czy naprawdę podoba się zdjęcie","Sprawdzać, ile lajków zebrało zdjęcie znajomych",Polubić wszystkie zdjęcia o dużej liczbie lajków,2
